id,website,social_media_links,meta_title,meta_description,payment_gateways,tech_stack,website_language,category
1,https://www.booking.com/index.html?aid=1743217,[],"
Booking.com | Official site | The best hotels, flights, car rentals & accommodations 
","Explore the world with Booking.com. Big savings on homes, hotels, flights, car rentals, taxis, and attractions – build your perfect trip on any budget.",[],"["jQuery", "D3.js", "React"]",en-us,portfolio
2,https://travelsites.com/expedia/,"["https://www.linkedin.com/in/david-jones-b3316617a/", "https://www.facebook.com/travelsitescom", "https://twitter.com/travelsitescom", "https://www.instagram.com/travelsitescom/", "https://www.youtube.com/channel/UCEE5fziH6zPXwsbjSlv-mhg", "https://www.facebook.com/travelsitescom", "https://twitter.com/travelsitescom", "https://www.instagram.com/travelsitescom/", "https://www.linkedin.com/in/david-jones-b3316617a/", "https://www.youtube.com/channel/UCEE5fziH6zPXwsbjSlv-mhg"]","Expedia & 29+ HOTEL BOOKING SITES Like expedia.com","Expedia.com is one of the most popular and well-known names in the online travel booking industry for good reason. The site is well-designed, the app is amazing, and the brand is reliable and widely trusted. But is Expedia the booking site with the best deals on the web? Come and read my review of Expedia today to find out!",[],"["jQuery"]",en-US,adult
3,https://travelsites.com/tripadvisor/,"["https://www.linkedin.com/in/david-jones-b3316617a/", "https://www.facebook.com/travelsitescom", "https://twitter.com/travelsitescom", "https://www.instagram.com/travelsitescom/", "https://www.youtube.com/channel/UCEE5fziH6zPXwsbjSlv-mhg", "https://www.facebook.com/travelsitescom", "https://twitter.com/travelsitescom", "https://www.instagram.com/travelsitescom/", "https://www.linkedin.com/in/david-jones-b3316617a/", "https://www.youtube.com/channel/UCEE5fziH6zPXwsbjSlv-mhg"]","TripAdvisor & 29+ HOTEL BOOKING SITES Like tripadvisor.com","TripAdvisor is one of the most widely used hotel booking sites in the world, and for good reason. With thousands of hotels, resorts, and home shares available in an easy-to-use interface, this is definitely a site all travelers should be familiar with. Add to that the fact that the site has a robust community of user reviewers, and you have the makings for one of the most useful booking sites on the planet. Come check out my review of Trip Advisor today to learn more!",[],"["jQuery"]",en-US,adult
4,https://www.momondo.in/?ispredir=true,[],"Cheap Flights: Compare Flights & Flight Tickets | momondo","momondo searches hundreds of other travel sites at once to get you the information you need to make the right decisions.",[],[],en-in,adult
5,https://www.ebookers.com/?AFFCID=EBOOKERS-UK.network.affiliatewindow.85386&awc=7904_1606029543_518c2af76500871f76cadec26f8eb055,[],"Bot or Not?",,[],"["D3.js", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App"]",Unknown,news
6,https://book.priceline.com/?refid=8431&refclickid=d196c1c3cad4c6e474196ac6815f9652,[],"Access to this page has been denied.",,[],[],en,adult
7,https://www.trip.com/index?locale=en_us&allianceid=21934&SID=455408&ouid=198c18a52c8911eb811b00ce0a18050d,"["https://www.facebook.com/Trip/"]","Trip.com Official Site‎‎ | Travel Deals and Promotions","Choose from over 1.2 million hotels in more than 200 countries, 30 million real guest reviews. Book flights to over 5,000 destinations worldwide. 24/7 Customer Service.",[],[],en-US,portfolio
8,https://www.orbitz.com/,[],"Bot or Not?",,[],"["Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App"]",Unknown,news
9,https://www.travelocity.com/,[],"Bot or Not?",,[],"["Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App", "Progressive Web App"]",Unknown,news
10,https://www.hotwire.com/,[],"Cheap Hotels, Cars, & Flights | Last Minute Travel Deals | Hotwire","Find the best deals on the cheapest hotels, cars & flights with Hotwire. Save up to 60% on hotels and rent cars from $8.99 / day in your favorite destinations.",[],[],en-us,news
